Year,Route,Route_Side,Member_Deaths,Hired_Deaths,Total_Deaths,Highpoint_m,Cause,Details
1979,Lho La-W Ridge (up); N Face (Hornbein)-W Ridge (down),South (Nepal),0,1,1,8849,Fall,Ang Phu Sherpa fell to death on descent
1979,S Col-SE Ridge,South (Nepal),2,0,2,8849,Exhaustion/Exposure,Hannalore Schmatz and Genet died on descent from exposure
1979,N Face (recon to 6400m),North (China/Tibet),0,3,3,6800,Avalanche,3 Chinese assistants died in avalanche
1980,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Avalanche,Akira Ube died in avalanche
1980,S Col-SE Ridge,South (Nepal),1,1,2,8763,Avalanche,1 Sherpa killed in Khumbu Icefall; Piana killed by avalanche above C2
1980,S Col-SE Ridge,South (Nepal),1,0,1,8000,Unknown,
1982,N Face (Great Couloir),North (China/Tibet),1,0,1,8400,Fall,Marty Hoey fatal fall
1982,NE Ridge,North (China/Tibet),2,0,2,8230,Disappeared,Boardman and Tasker disappeared on NE Ridge
1982,S Col-SE Ridge,South (Nepal),1,3,4,8849,Fall,Griffiths and 3 Sherpas killed in Khumbu Icefall
1982,Lho La-W Ridge,South (Nepal),0,2,2,8500,Unknown,
1982,S Col-SE Ridge,South (Nepal),2,0,2,8849,Unknown,
1983,S Col-SE Ridge,South (Nepal),2,0,2,8849,Unknown,Two fatalities in descent from summit
1983,S Pillar-SE Ridge,South (Nepal),0,1,1,8849,Unknown,
1984,W Cwm-W Ridge,South (Nepal),2,0,2,8200,Avalanche,Slab avalanche nearly caught Hillary and MacKenzie near C3; From and Nottle killed in separate falls from same point during summit attempt
1984,S Col-SE Ridge,South (Nepal),1,1,2,8400,Fall,Fatal fall by Thapa and Ang Dorje above S Col
1984,S Pillar-SE Ridge (up); SE Ridge-S Col (down),South (Nepal),1,0,1,8849,Fall,Orolin had blood clot in groin while in C3 late Sep (stayed at BC rest of climb); Psotka died in fall on night of Oct 15-16
1984,N Face (Hornbein Couloir),North (China/Tibet),1,0,1,6860,Avalanche,Avalanche from N Col destroyed ABC killing Swierzy and injuring 4 others
1984,S Col-SE Ridge,South (Nepal),0,2,2,8849,Avalanche,"Avalanche iceblocks of May 15-16 midnight buried C3, 3 members and 7 Sherpas seriously injured; Rekha Sharma fell across in icefall; Sherpa killed in avalanche on Lho La"
1984,Lho La-W Ridge,South (Nepal),1,0,1,8849,Fall,Prodanov death at 8600m; Yankov frostbitten fingers; 1 member hit by falling empty oxygen bottle in Apr; Savov frostbitten toes
1985,N Col-NE Ridge,North (China/Tibet),1,0,1,8200,Avalanche,Shinichi Ishii buried and killed by avalanche which he started at about 6900m
1985,S Col-SE Ridge (to 8725m),South (Nepal),5,0,5,8725,Fall,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28"
1985,N Col-NE Ridge,North (China/Tibet),1,0,1,7600,Fall,Navarro killed in 250m fall from 7500m; Zamarbide injured in same fall
1986,SW Face (Bonington rte),South (Nepal),0,1,1,8300,Fall,"1 Sherpa fell while carrying load from C4 to C5 with Ang Nima (fell 800-1000m, body not found); Sungdare and Lhakpa Norbu hit by falling rock (Sungdare while sleeping in C4, Lhakpa while descending); 1 Sherpa went home after AMS"
1986,N Col-NE Ridge,North (China/Tibet),0,1,1,7770,Avalanche,1 Sherpa died in avalanche
1986,N Col-NE Ridge,North (China/Tibet),1,0,1,7600,Avalanche,1 member killed in avalanche
1986,S Col-SE Ridge,South (Nepal),1,1,2,8763,Avalanche,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall
1987,N Face (Japanese & Hornbein Couloirs),North (China/Tibet),1,0,1,7850,Fall,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m"
1987,NE Ridge,North (China/Tibet),0,1,1,8100,Avalanche,Cook killed by avalanche at BC
1987,W Ridge from N,North (China/Tibet),1,0,1,8100,Drowning,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1
1988,S Col-SE Ridge,South (Nepal),0,1,1,8700,Fall,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall"
